District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
mardan,NA-11,pakistan peoples party parlimentarian,20896,39941,495,40436,256479,15.77,2008
karachi,NA-252,pakistan freedom movement,115,73068,951,74019,222482,33.3,2002
tribal area,NA-43,independent,247,14910,392,15302,119088,12.849,2008
khanewal,NA-157,pakistan muslim league,58819,137567,4676,142140,268515,52.93,2008
toba,NA-113,pakistan tehreek-e-insaf,128274,254969,7879,262848,438842,59.9,2018
charsadda,NA-24,pakistan muslim league (n),1363,0,0,0,0,45.29,2018
mianwal,NA-71,independent,322,216394,7988,222919,386930,57.61,2013
larkana old larkana,NA-204,muttahida qaumi movement,526,97697,1834,99528,374350,26.58,2008
hafizabad,NA-87,pakistan tehreek-e-insaf,165618,395158,9565,404723,684447,59.13,2018
lahore,NA-118,independent,19,166084,3171,169137,334256,50.6,2013
chitral,NA-1,pakistan rah-e-haq party,3223,0,0,0,0,60.97,2018
hafizabad,NA-102,pakistan muslim league (n),93691,173811,4298,176958,284417,62.21,2013
multan,NA-153,independent,1147,211229,5374,210591,349714,60.0,2013
bahawalnagar,NA-168,tehreek-e-labbaik pakistan,9554,0,0,0,0,56.51,2018
peshawar,NA-1,awami national party,44210,88325,629,88913,387083,22.97,2008
muzaffargarh,NA-178,pakistan muslim league (q),60386,123451,3856,127307,273899,46.48,2002
hyderabad,NA-220,pakistan muslim league (q),471,90740,1197,91937,273607,33.6,2002
abbottabad,NA-16,independent,236,0,0,0,0,49.84,2018
khairpur,NA-215,independent,102,140602,3127,143724,362823,39.16,2008
rawalpindi,NA-54,jamiat ulama-e-pakistan (noorani),468,165049,1801,166523,300816,55.36,2013
dikhancumtank,NA-25,pakistan muslim league (n),2871,187513,9165,195360,366793,53.26,2013
chakwal,NA-65,muttahida majlis-e-amal pakistan,2880,0,0,0,0,57.35,2018
tribal area,NA-43,independent,58,42901,1378,44051,168514,26.14,2013
dera ghazi khan,NA-171,pakistan muslim league,39628,162634,7114,169748,381343,44.42,2008
gujranwala,NA-84,independent,1761,0,0,0,0,57.36,2018
tribal area,NA-44,independent,91,58959,1502,60000,185040,32.43,2013
abbottabad,NA-15,pakistan rah-e-haq party,2307,0,0,0,0,50.56,2018
swat,NA-4,pakistan tehreek-e-insaf,71600,153909,6522,160431,409013,39.22,2018
mandi,NA-85,tehreek-e-labbaik islam,4656,0,0,0,0,53.45,2018
khushab,NA-70,independent,64885,210142,6836,215424,343920,62.64,2013
lahore,NA-118,pakistan muslim league (q),21641,69879,1327,71206,243707,29.22,2002
tribal,NA-47,independent,349,0,0,0,0,32.87,2018
attock,NA-56,pakistan peoples party parlimentarian,38779,0,0,0,0,52.5,2018
sargodha,NA-66,independent,996,212172,3065,214460,384131,56.83,2013
vehar,NA-169,independent,31,199613,4638,203822,321145,63.46,2013
tribal area,NA-40,independent,9,34638,591,35254,126453,27.87,2008
sibicumkohlucumdera bugti cumharani,NA-265,pakistan falah party,932,86334,6892,89804,211471,42.47,2013
jamshoro old dadu,NA-231,pakistan peoples party parlimentarian,138320,181157,5114,186259,492758,37.79,2008
khuzdar,NA-269,independent,4012,56409,2621,59030,252902,23.34,2002
karachi,NA-247,pakistan tehreek-e-insaf,1023,87099,1203,88302,243006,36.3,2002
gujranwala,NA-100,pakistan peoples party parlimentarian,6833,179845,5324,184883,288271,64.14,2013
tribal,NA-48,independent,494,0,0,0,0,23.32,2018
jhelum,NA-63,independent,2031,142818,4589,147407,294278,50.09,2002
karak,NA-15,tehrik-e-masawaat,99,159615,4284,162657,314969,51.64,2013
lahore,NA-135,pakistan tehreek-e-insaf,64765,136375,1973,138348,256481,53.94,2018
tribal,NA-41,independent,1863,0,0,0,0,38.17,2018
lahore,NA-128,independent,78,0,0,0,0,55.21,2018
tribal area,NA-40,independent,216,77113,857,77970,160666,48.52,2013
muzaffargarh,NA-182,tehreek-e-labbaik pakistan,6604,0,0,0,0,60.99,2018
tribal area,NA-36,pakistan peoples party parlimentarian,753,53017,66,53083,179304,29.92,2013
lahore,NA-123,independent,6,0,0,0,288994,0.0,2008
jhelum,NA-63,independent,563,203481,5273,208229,386957,53.87,2013
vehari,NA-167,independent,54,152880,1367,154247,363091,42.48,2008
tribal area,NA-39,independent,7922,47602,231,47833,125687,38.05,2013
tribal area,NA-41,independent,3,37461,706,0,92719,0.0,2013
abbottabad,NA-18,awami muslim league pakistan,1036,181627,6784,187224,336924,55.57,2013
gujranwala,NA-96,independent,13,154948,2997,154760,303568,52.0,2013
attock,NA-55,pakistan tehreek-e-insaf,145168,297411,8316,305727,571804,53.47,2018
bhakkar,NA-74,independent,3272,188776,6885,194925,300762,64.81,2008
karachi,NA-245,pakistan tehreek-e-insaf,56615,163439,2864,166303,443540,37.49,2018
muzaffargarh,NA-178,all pakistan muslim league,832,209261,6953,215737,349646,61.7,2013
chakwal,NA-61,pakistan muslim league,99373,275247,9752,272744,443677,61.0,2013
lahore,NA-123,independent,76,173676,2155,175830,347941,50.53,2013
nowshera,NA-6,independent,921,136313,5025,140891,299273,47.08,2013
karak,NA-34,pakistan muslim league (n),14346,0,0,0,0,49.69,2018
dera ghazi khan,NA-173,independent,337,134657,5384,140021,334228,41.89,2008
bahawalnagar,NA-191,pakistan muslim league (n),3438,168500,4002,172405,362672,47.53,2008
sargodha,NA-91,independent,5171,0,0,0,0,59.45,2018
islamabad,NA-49,independent,118,135591,983,136573,242877,56.23,2008
tribal area,NA-47,independent,10341,34627,414,35041,120963,28.97,2002
rawalpindi,NA-56,pakistan muslim league (n),73433,107633,1848,109481,312220,35.06,2008
sialkot,NA-111,pakistan peoples party (shaheed bhutto),328,222298,5508,227587,399981,56.89,2013
attock,NA-57,independent,685,102410,3773,106183,243306,43.64,2002
gujrat,NA-69,pakistan peoples party parlimentarian,6035,0,0,0,0,46.6,2018
kasur,NA-137,independent,949,0,0,0,0,58.91,2018
mirpurkhas,NA-226,independent,185,115311,2519,117830,261129,45.1,2002
sahiwal,NA-162,pakistan peoples party parlimentarian,9609,179312,3684,182742,306359,59.65,2013
faisalabad,NA-77,independent,385,175444,5667,180589,294667,61.48,2013
bahawalpur,NA-183,independent,942,158921,6660,172222,296231,58.0,2013
lahore,NA-123,independent,774,66805,1046,67851,262987,25.8,2002
faisalabad,NA-84,pakistan gharib party,215,112068,1805,113223,249391,45.4,2008
abbottabad,NA-17,independent,36668,134391,2681,134211,314337,42.72,2008
muzaffargarh,NA-180,independent,42,135912,3931,139839,257481,54.31,2008
mansehra,NA-13,pakistan muslim league,588,0,0,0,0,59.66,2018
gujranwala,NA-95,independent,136,107847,2113,109921,328711,33.4,2008
tribal area,NA-37,independent,5653,41321,711,42032,138559,30.34,2002
mandi bahauddin,NA-108,pakistan muslim league (n),73789,239629,5996,245260,430517,57.6,2013
rawalpindi,NA-59,independent,3272,0,0,0,0,58.78,2018
sheikhupura,NA-137,pakistan muslim league (q),61506,125292,3497,128789,279668,46.05,2002
jhelum,NA-67,pakistan muslim league (n),82475,0,0,0,0,51.87,2018
lahore,NA-121,pakistan peoples party parlimentarian,27934,108453,1861,109989,303962,36.18,2008
bannu,NA-26,independent,31867,112496,2108,114604,297451,38.53,2002
lahore,NA-123,awami muslim league pakistan,3,0,0,0,288994,0.0,2008
gujranwala,NA-100,independent,945,142896,1320,144216,329285,43.79,2008
karach,NA-239,pakistan muslim league (sher-e-bangal),997,152294,1605,153596,373762,41.12,2013
tribal area,NA-41,independent,78,26188,844,27032,86598,31.22,2002
lahore,NA-123,independent,5,0,0,0,288994,0.0,2008
karachi,NA-241,awami national party,5953,73634,924,74558,201562,37.0,2002
chiniot,NA-100,pakistan muslim league (n),76415,216487,7197,223684,362673,61.68,2018
faisalabad,NA-79,independent,196,192563,7322,190941,335868,56.85,2013
kasur,NA-139,independent,68,182988,5734,188869,301506,62.0,2013
pakpattan,NA-166,pakistan muslim league (n),66418,123530,4815,128315,221602,57.9,2008
quetta,NA-259,pakistan muslim league,9965,107926,2130,109903,264293,41.58,2013
hafizabad,NA-103,independent,76199,162738,4852,165135,259256,63.69,2013
rawalpindi,NA-55,independent,51,177341,2524,179731,324022,55.47,2013
islamabad,NA-54,pakistan tehreek-e-insaf,56945,117747,932,118679,218795,54.24,2018
haripur,NA-17,independent,5033,0,0,0,0,52.22,2018
abbottabad,NA-15,independent,30305,0,0,0,0,50.56,2018
okara,NA-142,pakistan kissan ittehad(ch. anwar),202,0,0,0,0,56.81,2018
lahore,NA-123,independent,13,0,0,0,288994,0.0,2008
tharparkar,NA-230,independent,761,129293,8990,138283,203512,67.94,2013
khushab,NA-69,all pakistan muslim league,1307,201459,7816,207704,336551,61.72,2013
khanewal,NA-158,muttahida qaumi movement,1512,159769,4137,159659,262562,60.8,2008
charsadda,NA-7,mutahida deeni mahaz,1032,169170,5113,173869,376144,46.22,2013
larkana old larkana,NA-204,independent,624,97697,1834,99528,374350,26.58,2008
rawalpindi,NA-55,pakistan muslim league (n),14405,96659,2174,98833,254943,38.77,2002
haripur,NA-19,muttahida qaumi movement,699,288057,8467,295471,531865,55.55,2013
malakand pa,NA-35,pakistan peoples party parlimentarian,34472,70744,2380,73058,233458,31.29,2008
khanewal,NA-156,pakistan muslim league (q),59637,150940,3048,153988,291062,52.91,2002
muzaffargarh,NA-184,independent,853,0,0,0,0,58.52,2018
gujranwala,NA-83,pakistan tehreek-e-insaf-gulalai,240,0,0,0,0,55.07,2018
rawalpindi,NA-52,pakistan muslim league (q),56645,144310,5698,150008,306853,48.89,2002
lower,NA-6,pakistan tehreek-e-insaf,63440,166820,4955,171775,351245,48.9,2018
hyderabad,NA-218,muttahida qaumi movement,3615,112119,1105,113224,276462,41.0,2002
gujranwala,NA-98,pakistan muslim league (q),37523,131614,5079,136693,285993,47.8,2002
rawalpindi,NA-61,independent,333,0,0,0,0,51.38,2018
gujrat,NA-104,pakistan peoples party parlimentarian,62651,154009,4313,158322,303985,52.08,2002
gujrat,NA-106,muttahida qaumi movement,75,213817,6893,222983,413565,53.91,2013
faisalabad,NA-81,awami justice party pakistan,209,206571,5824,212395,344031,61.74,2013
narowal,NA-115,pakistan muslim league (q),32104,100282,4559,104841,237486,44.15,2002
tribal area,NA-40,independent,15,28600,289,28889,96448,29.95,2002
tribal area,NA-36,independent,1208,24648,341,24989,108081,23.12,2002
badincumtando muhammad khani old badin,NA-224,independent,268,130012,8728,138742,331871,41.8,2008
tharparkar,NA-229,national alliance,86196,122560,3054,125614,250983,50.0,2002
toba,NA-112,independent,357,0,0,0,0,59.22,2018
sawabi,NA-12,awami national party,32038,86830,2009,88839,236270,37.6,2002
okara,NA-144,independent,77795,118044,4080,122143,301559,40.5,2008
karachi,NA-248,pakistan peoples party parlimentarian,84217,104565,1849,106414,351345,30.28,2008
lahore,NA-122,azad pakistan party,789,116359,1653,118060,331381,35.62,2008
gujranwala,NA-100,pakistan muslim league (n),89826,179845,5324,184883,288271,64.14,2013
karachi,NA-249,pakistan tehreek-e-insaf,35344,128501,2684,131185,331430,39.58,2018
sialkot,NA-110,pakistan muslim league (q),38957,101803,4280,106083,247536,42.86,2002
rahimyar khan,NA-193,pakistan peoples party parlimentarian,45500,113979,3605,117584,280047,41.99,2002
bahawalpur,NA-170,pakistan muslim league (n),74694,0,0,0,0,52.29,2018
dikhan,NA-24,pakistan peoples party parlimentarian,83560,138631,4287,142843,347165,41.14,2008
kasur,NA-138,national alliance,1394,116211,3545,119756,245303,48.82,2002
hyderabad,NA-223,pakistan peoples party parlimentarian,50624,97841,2827,100668,274892,36.6,2002
faisalabad,NA-81,pakistan peoples party parlimentarian,65322,144790,3616,153406,252974,60.64,2008
sukkur cum shikarpur,NA-198,independent,24,107595,2465,110038,265679,41.41,2008
sahiwal,NA-161,independent,422,128909,6104,135661,236482,57.36,2008
sialkot,NA-113,pakistan muslim league (n),77819,155414,5996,161406,292273,55.02,2008
swab,NA-13,jamiat ulma-e-islam nazryati pakistan,7765,155745,4191,159276,362779,43.9,2013
karachi,NA-245,muttahida qaumi movement,149157,168328,841,169169,344004,49.18,2008
chakwal,NA-64,pakistan muslim league (n),130051,0,0,0,0,58.15,2018
karachi,NA-253,independent,183,152843,2744,156342,398527,39.22,2008
tharparkar,NA-230,pakistan muslim league,109580,153057,6085,152556,237555,64.21,2008
nankana sahibii old sheikhupura,NA-137,pakistan peoples party parlimentarian,24829,124965,5452,130408,234225,55.6,2008
kashmore old jacobabad,NA-210,independent,103,84801,1521,86322,292284,29.53,2008
chinioti old  na jhang,NA-86,independent,289,178119,5827,183946,289317,63.58,2013
karachi,NA-247,independent,36,87099,1203,88302,243006,36.3,2002
dadu,NA-235,pakistan peoples party parlimentarian,81200,169406,9290,178696,359762,49.67,2018
rajanpur,NA-175,independent,271,116506,3504,120010,292109,41.08,2002
peshawar,NA-1,jamiat ulma-e-islam nazryati pakistan,42,145924,2103,146044,320578,46.18,2013
bahawalpur,NA-185,pakistan muslim league (n),54334,121413,2411,123818,364465,33.97,2008
layyah,NA-181,pakistan muslim league (n),56951,163166,4241,167325,263128,63.59,2008
chakwal,NA-60,independent,129,294995,9559,306258,486070,63.0,2013
tribal area,NA-37,independent,0,87090,206,87296,141190,61.82,2008
okara,NA-143,pakistan muslim league,43798,124135,4627,128762,280597,45.88,2008
bahawalpur,NA-173,independent,2698,0,0,0,0,56.02,2018
narowal,NA-77,pakistan tehreek-e-insaf,52231,0,0,0,0,54.86,2018
muzaffargarh,NA-180,independent,195,182206,5712,181154,296167,61.17,2013
lahore,NA-132,pakistan muslim league (n),95834,186969,3524,190493,315104,60.45,2018
jhang,NA-86,independent,285,126706,3510,130216,252313,51.61,2002
islamabad,NA-53,pakistan peoples party parlimentarian,17970,0,0,0,0,56.53,2018
hyderabad,NA-222,independent,387,92505,1794,94299,262149,36.0,2002
buner,NA-28,pakistan peoples party(sherpao),34224,73731,2670,76401,269067,28.39,2002
faisalabad,NA-102,independent,561,0,0,0,0,54.67,2018
khushab,NA-93,pakistan tehreek-e-insaf,100448,240123,7963,248086,428736,57.86,2018
rawalpindi,NA-52,independent,666,255828,4329,259631,455186,57.04,2013
sialkot,NA-112,pakistan muslim league (q),68468,153701,5400,159101,324531,49.02,2002
khushab,NA-70,pakistan muslim league (n),94594,210142,6836,215424,343920,62.64,2013
toba,NA-111,allah-o-akbar tehreek,2713,0,0,0,0,58.32,2018
tribal area,NA-41,pakistan muslim league (n),8022,37461,706,0,92719,0.0,2013
sialkot,NA-112,independent,126,164695,4979,168516,302932,55.63,2008
bahawalpur,NA-185,pakistan muslim league (n),54334,121413,2411,123818,364465,33.97,2008
vehari,NA-165,independent,274,0,0,0,0,56.39,2018
kasur,NA-139,pakistan muslim league (n),51436,117709,3663,121313,239473,50.66,2008
toba,NA-112,pakistan muslim league (n),125303,272751,5483,278234,469863,59.22,2018
bahawalnagar,NA-190,pakistan muslim league (n),2800,151037,3629,154666,316829,48.81,2008
swat,NA-2,pakistan tehreek-e-insaf,61687,157060,8721,165781,382974,43.29,2018
bahawalpur,NA-183,independent,1114,158921,6660,172222,296231,58.0,2013
karach,NA-240,muttahida qaumi movement,87805,161602,1539,163135,287170,56.8,2013
larkana,NA-204,muttahida qaumi movement,2129,70055,2241,72296,275041,26.3,2002
toba,NA-113,independent,173,0,0,0,0,59.9,2018
tribal area,NA-41,independent,210,37461,706,0,92719,0.0,2013
rawalpindi,NA-56,independent,10,160363,1479,161627,288423,56.04,2013
karachi,NA-253,muttahida majlis-e-amal pakistan,9357,0,0,0,0,38.12,2018
rawalpindi,NA-63,independent,65767,0,0,0,0,58.14,2018
tribal area,NA-46,independent,4135,16896,142,0,0,0.0,2013
hafizabad,NA-103,pakistan tehreek-e-insaf,1229,111845,3502,115347,206486,55.86,2002
karachi,NA-239,pakistan peoples party parlimentarian,21461,74450,1323,75773,228031,33.2,2002
multan,NA-154,pakistan muslim league (n),20977,0,0,0,0,57.04,2018
kasur,NA-139,independent,25137,100130,3058,103188,266294,38.75,2002
dera ghazi khan,NA-172,national alliance,56343,109715,2130,111845,305066,36.66,2002
tribal area,NA-39,independent,12,47602,231,47833,125687,38.05,2013
attock,NA-57,pakistan muslim league (n),59920,182125,5464,186122,353751,52.61,2013
attock,NA-57,pakistan peoples party parlimentarian,9570,102410,3773,106183,243306,43.64,2002
rahimyar khan,NA-192,independent,74933,134212,3428,137640,345937,39.79,2002
dera ismail khan,NA-24,independent,144,220433,10510,219518,390996,56.14,2013
pakpattan,NA-164,pakistan muslim league (n),67984,163673,6212,169357,260811,64.93,2013
kamber shahdadkot old larkana,NA-206,pakistan peoples party parlimentarian,49524,75181,2392,77573,148797,52.0,2008
chakwal,NA-61,independent,101664,194260,3883,198143,358593,55.26,2002
jamshoro,NA-233,pakistan peoples party parlimentarian,133492,229406,10917,240323,426469,56.35,2018
islamabad,NA-54,independent,0,0,0,0,0,54.24,2018
sawabi,NA-13,muttahidda majlis-e-amal,50096,88935,2515,91450,237950,38.43,2002
gujrat,NA-71,pakistan tehreek-e-insaf,81538,0,0,0,0,50.87,2018
tribal area,NA-43,jamaat-e-islami pakistan,10023,42901,1378,44051,168514,26.14,2013
attock,NA-58,pakistan muslim league,70743,181330,5806,182792,315556,57.0,2008
bahawalpur,NA-184,independent,2113,171487,4998,176458,291600,60.51,2013
gujrat,NA-105,independent,19,199918,4492,203864,394060,51.73,2013
mardan,NA-9,muttahidda majlis-e-amal,54479,77668,1722,79390,221113,35.9,2002
kohat,NA-14,awami national party,30681,98618,3029,101567,357556,28.41,2008
lakki marwat,NA-27,jamiat ulama-e-pakistan (noorani),45,169216,5277,174492,330921,53.0,2013
nankana,NA-118,tehreek-e-labbaik pakistan,49345,0,0,0,0,58.64,2018
faisalabad,NA-78,independent,950,177008,12488,188935,301973,62.57,2013
islamabad,NA-49,jamaat-e-islami pakistan,9968,214364,1406,216008,334241,64.36,2013
tribal,NA-44,independent,9042,0,0,0,0,25.32,2018
buner,NA-28,jamiat ulama-e-pakistan (noorani),306,123029,5188,126255,360019,35.07,2013
gujranwala,NA-79,pakistan peoples party parlimentarian,8910,0,0,0,0,54.66,2018
tribal,NA-49,independent,50,0,0,0,0,20.71,2018
lahore,NA-124,tehreek-e-labbaik pakistan,14832,0,0,0,0,48.5,2018
rawalpindi,NA-51,all pakistan muslim league,203,239527,5815,245342,452466,54.22,2013
narowal,NA-115,independent,277,142358,5748,148106,247582,57.5,2013
islamabad,NA-48,sunni ittehad council,39,173189,1042,173968,292142,59.55,2013
abbottabad,NA-18,pakistan awami tehreek,3516,114080,3200,117280,323694,36.23,2002
mardan,NA-9,independent,282,57054,1063,80816,262042,30.8,2008
bhakkar,NA-98,pakistan awami raj,797,0,0,0,0,67.98,2018
tribal,NA-44,independent,72,0,0,0,0,25.32,2018
peshawar,NA-1,pakistan peoples party (shaheed bhutto),232,88325,629,88913,387083,22.97,2008
mansehra,NA-20,pakistan peoples party parlimentarian,8114,155114,3669,158783,437390,36.02,2008
badin,NA-229,pakistan peoples party parlimentarian,96977,195265,8178,203443,384150,52.96,2018
tribal area,NA-37,independent,8,87090,206,87296,141190,61.82,2008
rajanpur,NA-195,independent,1696,0,0,0,0,63.52,2018
sialkot,NA-113,pakistan muslim league (n),77819,155414,5996,161406,292273,55.02,2008
mianwal,NA-71,independent,277,216394,7988,222919,386930,57.61,2013
gujrat,NA-70,independent,128,0,0,0,0,49.74,2018
mardan,NA-11,tehreek-e-ittehad ummat pakistan,327,132539,3970,136212,329285,42.0,2013
